id,cliente,produto,data,categoria,reclamacao
1,Carlos,Tablet A,2024-05-17,Entrega,"Comprei o produto há mais de duas semanas e ele ainda não foi entregue. No site constava o prazo de entrega de até cinco dias úteis, mas até agora nada. Entrei em contato com o suporte, que apenas informou que o produto está a caminho, sem dar nenhum tipo de previsão clara. Além disso, quando finalmente recebi um aviso de entrega, o pacote chegou danificado, com a embalagem rasgada e sinais de violação. Isso é um descaso total com o consumidor. Já enviei vários e-mails cobrando uma solução e ninguém responde. Me sinto totalmente desrespeitado como cliente e não recomendo essa loja para ninguém. O atendimento é extremamente demorado e ineficaz. Quero uma solução imediata, ou terei que acionar os órgãos de defesa do consumidor."
2,Mariana,Geladeira Z,2024-05-22,Atendimento,"Realizei o pagamento à vista, via boleto bancário, no mesmo dia da compra. O prazo para confirmação era de até dois dias úteis, mas passaram cinco dias e o status do pedido ainda não foi alterado. Entrei em contato pelo chat da loja e só recebi respostas automáticas. Tentei ligar para o SAC, mas a ligação caiu várias vezes. Quando finalmente consegui falar com um atendente, ele disse que ia verificar e retornaria o contato — o que nunca aconteceu. Enquanto isso, o produto ficou fora de estoque. Ou seja, paguei por algo que agora nem está mais disponível. Isso é propaganda enganosa e uma total falta de organização. Estou profundamente insatisfeito com a experiência e quero o estorno imediato do valor."
3,João,Smartphone Y,2024-05-16,Entrega,"Comprei um produto anunciado como 'novo' e recebi uma unidade visivelmente usada, com riscos na carcaça e sinais de uso. Imediatamente entrei em contato com o atendimento para solicitar a troca, mas fui informado de que o prazo para esse tipo de reclamação já havia expirado — sendo que eu recebi o item há apenas dois dias! Isso é inaceitável. O atendimento ao cliente é lento e mal treinado. Cada atendente dá uma informação diferente, e ninguém resolve efetivamente o problema. Já abri protocolo, já mandei fotos, já mandei vídeos, e até agora nada foi feito. Parece que o cliente tem que implorar para que a empresa cumpra seus próprios termos. Quero uma nova unidade ou meu dinheiro de volta. Se isso não for resolvido nos próximos dias, abrirei uma reclamação no Procon e em outros canais."
4,Ana,TV 4K,2024-05-02,Entrega,Estou aguardando a entrega há mais de uma semana.
5,Pedro,Cafeteira B,2024-05-18,Entrega,"Recebi o produto errado, preciso de troca urgente."
6,Luiza,Notebook X,2024-05-30,Pagamento,O suporte técnico não atende minhas ligações.
7,Ricardo,Geladeira Z,2024-05-16,Entrega,"Cancelei a compra, mas ainda cobraram no meu cartão."
8,Beatriz,Geladeira Z,2024-05-27,Atendimento,"A entrega foi feita em outro endereço, erro da loja."
9,Fernanda,Geladeira Z,2024-05-06,Entrega,Produto com defeito e ninguém responde meus e-mails.
10,Rafael,Geladeira Z,2024-05-20,Pagamento,"Demoraram para aprovar o pagamento, perdi a promoção."
